GEOID,NAME,estimate_poverty,estimate_income,moe_poverty,moe_income
48127,"Dimmit County, Texas",3758,33409,686,10316
48447,"Throckmorton County, Texas",222,58864,79,15400
48337,"Montague County, Texas",2739,62818,575,4686
48159,"Franklin County, Texas",1153,66800,386,11692
48445,"Terry County, Texas",2381,45905,579,11387
48461,"Upton County, Texas",539,52321,196,16945
48163,"Frio County, Texas",2835,60098,711,19729
48179,"Gray County, Texas",3162,56082,577,5571
48425,"Somervell County, Texas",607,83382,184,20475
48211,"Hemphill County, Texas",113,72052,92,9552
48107,"Crosby County, Texas",1097,52197,222,6218
48433,"Stonewall County, Texas",105,61250,83,29213
48463,"Uvalde County, Texas",5242,57849,1175,8803
48415,"Scurry County, Texas",1411,62689,476,14842
48213,"Henderson County, Texas",11667,63955,1110,2911
48189,"Hale County, Texas",5731,52788,1029,4141
48487,"Wilbarger County, Texas",2301,51626,482,5313
48263,"Kent County, Texas",56,71420,32,4616
48363,"Palo Pinto County, Texas",4868,64972,700,5357
48221,"Hood County, Texas",5191,86802,993,5044
48027,"Bell County, Texas",53935,66051,3411,1732
48259,"Kendall County, Texas",2353,110498,598,8205
48365,"Panola County, Texas",2635,62593,580,8585
48171,"Gillespie County, Texas",2549,67799,592,6755
48111,"Dallam County, Texas",692,72332,333,8476
48441,"Taylor County, Texas",18686,66406,1485,2610
48473,"Waller County, Texas",7387,76135,1286,2796
48087,"Collingsworth County, Texas",698,60165,201,15755
48439,"Tarrant County, Texas",229884,81905,7849,930
48123,"DeWitt County, Texas",2855,64014,494,3543
48115,"Dawson County, Texas",1863,55789,426,9459
48097,"Cooke County, Texas",5872,72472,932,5093
